training_data,C:\Users\ezxac5\Documents\GitHub\Materials-Discovery\Machine_learning\Active_learning\Pyrochlore_database_atomic_param_unnormalized.csv,,,,,,,,,,,,,,
Iterations,100000,,,,,,,,,,,,,,
SmA,0.16666666666666666,,,,,,,,,,,,,,
HoA,0.071428571,,,,,,,,,,,,,,
ErA,0.023809523809523808,,,,,,,,,,,,,,
CeA,0.19047619047619047,,,,,,,,,,,,,,
EuA,0.14285714285714285,,,,,,,,,,,,,,
LaA,0.11904761904761904,,,,,,,,,,,,,,
DyA,0.047619047619047616,,,,,,,,,,,,,,
GdA,0.071428571,,,,,,,,,,,,,,
NdA,0.16666666666666666,,,,,,,,,,,,,,
ZrB,1,,,,,,,,,,,,,,
Distance,0.22897593324320217,,,,,,,,,,,,,,
RA,1.0932857137789151,,,,,,,,,,,,,,
RB,0.7200000000236034,,,,,,,,,,,,,,
MA,148.7679359098638,,,,,,,,,,,,,,
MB,91.22400000306945,,,,,,,,,,,,,,
Entropy_conf,1.766807258305601,,,,,,,,,,,,,,
Distance,0.22897593324320217,,,,,,,,,,,,,,
0,Target parameters,,,,,,,,,,,,,,
RA,1.1047,,,,,,,,,,,,,,
RB,0.72,,,,,,,,,,,,,,
MA,149.303,,,,,,,,,,,,,,
MB,91.224,,,,,,,,,,,,,,
Entropy_conf,2.425,,,,,,,,,,,,,,
0,Constraints,,,,,,,,,,,,,,
num_A,9,,,,,,,,,,,,,,
num_B,1,,,,,,,,,,,,,,
LaA,1,,,,,,,,,,,,,,
NdA,1,,,,,,,,,,,,,,
SmA,1,,,,,,,,,,,,,,
GdA,1,,,,,,,,,,,,,,
EuA,1,,,,,,,,,,,,,,
TnA,1,,,,,,,,,,,,,,
YbA,1,,,,,,,,,,,,,,
YA,1,,,,,,,,,,,,,,
DyA,1,,,,,,,,,,,,,,
HoA,1,,,,,,,,,,,,,,
ErA,1,,,,,,,,,,,,,,
PrA,1,,,,,,,,,,,,,,
CeA,1,,,,,,,,,,,,,,
ZrB,1,,,,,,,,,,,,,,
HfB,0,,,,,,,,,,,,,,
SnB,0,,,,,,,,,,,,,,
CeB,0,,,,,,,,,,,,,,
TiB,0,,,,,,,,,,,,,,
0,Surrogate Model Parameters,,,,,,,,,,,,,,
Model_name,model_linear_RA,,,,,,,,,,,,,,
copy_X,TRUE,,,,,,,,,,,,,,
fit_intercept,TRUE,,,,,,,,,,,,,,
n_jobs,,,,,,,,,,,,,,,
normalize,deprecated,,,,,,,,,,,,,,
positive,FALSE,,,,,,,,,,,,,,
Model_name,model_linear_RB,,,,,,,,,,,,,,
copy_X,TRUE,,,,,,,,,,,,,,
fit_intercept,TRUE,,,,,,,,,,,,,,
n_jobs,,,,,,,,,,,,,,,
normalize,deprecated,,,,,,,,,,,,,,
positive,FALSE,,,,,,,,,,,,,,
Model_name,model_linear_MA,,,,,,,,,,,,,,
copy_X,TRUE,,,,,,,,,,,,,,
fit_intercept,TRUE,,,,,,,,,,,,,,
n_jobs,,,,,,,,,,,,,,,
normalize,deprecated,,,,,,,,,,,,,,
positive,FALSE,,,,,,,,,,,,,,
Model_name,model_linear_MB,,,,,,,,,,,,,,
copy_X,TRUE,,,,,,,,,,,,,,
fit_intercept,TRUE,,,,,,,,,,,,,,
n_jobs,,,,,,,,,,,,,,,
normalize,deprecated,,,,,,,,,,,,,,
positive,FALSE,,,,,,,,,,,,,,
Model_name,model_svr_entropy,,,,,,,,,,,,,,
C,1,,,,,,,,,,,,,,
cache_size,200,,,,,,,,,,,,,,
coef0,0,,,,,,,,,,,,,,
degree,1,,,,,,,,,,,,,,
epsilon,0.001,,,,,,,,,,,,,,
gamma,scale,,,,,,,,,,,,,,
kernel,rbf,,,,,,,,,,,,,,
max_iter,-1,,,,,,,,,,,,,,
shrinking,TRUE,,,,,,,,,,,,,,
tol,0.001,,,,,,,,,,,,,,
verbose,FALSE,,,,,,,,,,,,,,
0,Normalization parameters,,,,,,,,,,,,,,
RA,0.985,1.16,,,,,,,,,,,,,
RB,0.605,0.87,,,,,,,,,,,,,
MA,88.90585,173.04,,,,,,,,,,,,,
MB,47.867,134.857,,,,,,,,,,,,,
Entropy_conf,0,3,,,,,,,,,,,,,
0,Top 10 compositions,,,,,,,,,,,,,,
,SmA,HoA,ErA,CeA,EuA,LaA,DyA,GdA,NdA,ZrB,Distance,YbA,TnA,YA,PrA
0,0.16666666666666666,0.071428571,0.023809523809523808,0.19047619047619047,0.14285714285714285,0.11904761904761904,0.047619047619047616,0.071428571,0.16666666666666666,1,0.22897593324320217,0,0,0,0
1,0.13953488372093023,0.046511627906976744,0,0.18604651162790697,0.069767442,0.18604651162790697,0.069767442,0.16279069767441862,0.11627906976744186,1,0.22979698491915437,0.023255813953488372,0,0,0
2,0.18,0.02,0,0.14,0.12,0.14,0.04,0.12,0.18,1,0.23069129451213177,0.06,0,0,0
3,0.15151515151515152,0,0.030303030303030304,0.15151515151515152,0.090909091,0.24242424242424243,0.030303030303030304,0.090909091,0.15151515151515152,1,0.23197595962303416,0.060606061,0,0,0
4,0.1276595744680851,0.10638297872340426,0,0.19148936170212766,0.021276596,0.19148936170212766,0,0.063829787,0.19148936170212766,1,0.23362748466234243,0.085106383,0.021276596,0,0
5,0.13333333333333333,0.044444444444444446,0,0.2,0.044444444444444446,0.2,0,0.044444444444444446,0.2,1,0.23450569674662522,0.1111111111111111,0.022222222222222223,0,0
